ZIP,Latitude,Longitude
60601,41.88531,-87.622116
60602,41.883073,-87.629149
60603,41.880188,-87.625509
60604,41.878095,-87.628461
60605,41.867566,-87.617228
60606,41.882066,-87.637349
60607,41.87493,-87.651596
60608,41.84688,-87.670664
60609,41.81268,-87.656935
60610,41.906772,-87.632231
60611,41.8957,-87.613775
60612,41.88032,-87.687749
60613,41.956949,-87.654272
60614,41.922714,-87.649577
60615,41.801647,-87.596288
60616,41.844883,-87.624032
60617,41.718197,-87.552739
60618,41.946962,-87.702548
60619,41.74369,-87.605526
60620,41.740497,-87.652558
60621,41.776382,-87.639572
60622,41.902172,-87.683337
60623,41.848897,-87.717661
60624,41.880504,-87.724444
60625,41.973292,-87.700351
60626,42.010019,-87.667095
60628,41.690875,-87.615773
60629,41.775868,-87.711496
60630,41.972071,-87.756569
60631,41.994855,-87.813003
60632,41.810166,-87.713252
60633,41.663809,-87.56147
60634,41.946189,-87.806117
60636,41.775739,-87.669064
60637,41.781621,-87.599876
60638,41.78143,-87.77052
60639,41.920552,-87.756054
60640,41.972872,-87.662604
60641,41.946606,-87.746787
60642,41.902042,-87.658544
60643,41.700273,-87.663267
60644,41.880084,-87.756373
60645,42.008558,-87.694735
60646,41.993019,-87.759627
60647,41.921215,-87.701028
60649,41.76342,-87.565879
60651,41.902093,-87.740857
60652,41.747932,-87.714795
60653,41.819962,-87.605984
60654,41.892289,-87.637271
60655,41.694776,-87.703777
60656,41.97428,-87.827132
60657,41.940293,-87.646857
60659,41.991488,-87.703986
60660,41.99111,-87.663076
60661,41.88303,-87.644101
60706,41.964257,-87.816242
60707,41.921853,-87.807282
60712,42.005432,-87.733239
60714,42.028057,-87.810967
60803,41.674038,-87.73617
60804,41.838036,-87.75987
60805,41.722001,-87.702446
60827,41.649434,-87.633572
60901,41.109505,-87.897917
60910,41.080494,-87.809612
60911,40.880243,-87.976584
60912,40.973619,-87.603476
60913,41.146985,-88.061778
60914,41.187368,-87.861802
60915,41.146304,-87.861046
60917,41.046818,-88.185472
60918,40.59497,-88.02567
60919,40.987875,-88.237518
60920,41.029257,-88.30497
60921,40.731456,-88.297018
60922,41.010925,-87.91929
60924,40.551009,-87.886524
60926,40.566351,-87.823657
60927,40.938489,-87.972776
60928,40.74166,-87.849011
60929,40.874974,-88.289163
60930,40.829913,-88.002574
60931,40.889327,-87.588141
60932,40.463312,-87.805561
60933,40.464728,-88.271912
60934,40.958061,-88.353047
60935,41.170447,-88.175861
60936,40.467849,-88.351997
